Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"4,050,000","2,867.53","1,412",Dec-23,BRIGHTON CRESCENT,Resale,Land,266.4,"15,203",-,Terrace House,1,Freehold,19,Outside Central Region,-
THOMSON HILLS ESTATE,"3,180,000","2,188.32","1,453",Dec-23,SEMBAWANG HILLS DRIVE,Resale,Land,203.3,"15,642",-,Terrace House,1,Freehold,20,Outside Central Region,-
ENG KONG PARK,"4,850,000","3,306.7","1,467",Dec-23,ENG KONG CRESCENT,Resale,Land,307.2,"15,788",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"11,338,000","5,239.92","2,164",Dec-23,WAREHAM ROAD,Resale,Land,486.8,"23,291",-,Detached House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"570,000","4,135.53",138,Dec-23,JALAN CHEMPAKA KUNING,Resale,Land,384.2,"1,484",-,Terrace House,1,70 yrs lease commencing from 1964,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,530,000","1,979.5","1,783",Dec-23,TOH TUCK ROAD,Resale,Land,183.9,"19,195",-,Terrace House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"8,580,000","4,049.42","2,119",Dec-23,MARYLAND DRIVE,Resale,Land,376.2,"22,807",-,Semi-Detached House,1,999 yrs lease commencing from 1876,10,Core Central Region,-
FULTON HILL,"3,950,000","1,856.79","2,127",Dec-23,FULTON AVENUE,Resale,Land,172.5,"22,899",-,Terrace House,1,Freehold,20,Rest of Central Region,-
LOYANG VILLAS,"2,100,000","1,614.6","1,301",Dec-23,LOYANG RISE,Resale,Land,150,"14,000",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
MING TECK PARK,"6,100,000","2,018.25","3,022",Dec-23,MING TECK PARK,Resale,Land,187.5,"32,533",-,Terrace House,1,999 yrs lease commencing from 1876,10,Core Central Region,-
