Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SIGNATURE PARK,"1,610,000","1,033.34","1,558",Nov-22,TOH TUCK ROAD,Resale,Strata,96,"16,771",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
HAIG ELEVEN,"1,400,000",882.65,"1,586",Nov-22,HAIG AVENUE,Resale,Strata,82,"17,073",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
EASTERN LAGOON,"1,250,000",753.48,"1,659",Nov-22,UPPER EAST COAST ROAD,Resale,Strata,70,"17,857",-,Condominium,1,Freehold,15,Outside Central Region,11 to 15
TERRASSE,"2,320,000","2,497.25",929,Nov-22,TERRASSE LANE,Resale,Strata,232,"10,000",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
THE LAKESHORE,"1,500,000","1,173.28","1,278",Nov-22,JURONG WEST STREET 41,Resale,Strata,109,"13,761",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,06 to 10
VERSILIA ON HAIG,"1,830,000","1,022.58","1,790",Nov-22,IPOH LANE,Resale,Strata,95,"19,263",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
CELADON VIEW,"1,650,000","1,377.79","1,198",Nov-22,JALAN LOYANG BESAR,Resale,Strata,128,"12,891",-,Apartment,1,999 yrs lease commencing from 1885,17,Outside Central Region,01 to 05
THE MAYFAIR,"1,370,888","1,356.26","1,011",Nov-22,JURONG EAST STREET 32,Resale,Strata,126,"10,880",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,06 to 10
KINGSFORD WATERBAY,"1,370,000","1,065.64","1,286",Nov-22,UPPER SERANGOON VIEW,Resale,Strata,99,"13,838",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,16 to 20
WATERTOWN,"2,400,000","1,550.02","1,548",Nov-22,PUNGGOL CENTRAL,Resale,Strata,144,"16,667",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
KINGSFORD WATERBAY,"1,450,000","1,097.93","1,321",Nov-22,UPPER SERANGOON VIEW,Resale,Strata,102,"14,216",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,16 to 20
MAYSPRINGS,"875,000",807.3,"1,084",Nov-22,PETIR ROAD,Resale,Strata,75,"11,667",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,01 to 05
DAHLIA PARK CONDOMINIUM,"1,080,000","1,097.93",984,Nov-22,FLORA DRIVE,Resale,Strata,102,"10,588",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
SYMPHONY SUITES,"1,048,000",893.41,"1,173",Nov-22,YISHUN CLOSE,Resale,Strata,83,"12,627",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
MELVILLE PARK,"855,000",990.29,863,Nov-22,SIMEI STREET 1,Resale,Strata,92,"9,293",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,06 to 10
CASCADALE,"1,365,000","1,302.44","1,048",Nov-22,UPPER CHANGI ROAD EAST,Resale,Strata,121,"11,281",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
HILBRE28,"1,890,000","1,410.08","1,340",Nov-22,HILLSIDE DRIVE,Resale,Strata,131,"14,427",-,Apartment,1,999 yrs lease commencing from 1876,19,Outside Central Region,01 to 05
SKY VUE,"1,590,000",796.54,"1,996",Nov-22,BISHAN STREET 15,Resale,Strata,74,"21,486",-,Condominium,1,99 yrs lease commencing from 2013,20,Rest of Central Region,26 to 30
WATERVIEW,"1,168,000",925.7,"1,262",Nov-22,TAMPINES AVENUE 1,Resale,Strata,86,"13,581",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,11 to 15
