LATITUDE,LONGITUDE,address,town,flat_type,floor_area_sqm,remaining_lease,bus_within_0.5,cbd_distance,hawker_distance,mall_within_2.0,mrtlrt_distance,park_distance,school_within_2.0,supermarket_within_0.5,resale_price,region
1.3899,103.90607,145 RIVERVALE DR,SENGKANG,4 ROOM,100.0,81,20.0,13.171493,1.733052,6.0,0.185081,0.320994,26.0,1.0,399023.872,North East
1.3899,103.90607,145 RIVERVALE DR,SENGKANG,5 ROOM,116.0,81,20.0,13.171493,1.733052,6.0,0.185081,0.320994,26.0,1.0,482976.59249999997,North East
1.38993,103.88656,308B ANCHORVALE RD,SENGKANG,4 ROOM,90.0,83,15.0,12.331347,0.801445,6.0,0.095392,1.085886,25.0,0.0,411960.5,North East
1.38993,103.88656,308B ANCHORVALE RD,SENGKANG,5 ROOM,110.0,83,15.0,12.331347,0.801445,6.0,0.095392,1.085886,25.0,0.0,467877.176,North East
1.38994,103.87648,410C FERNVALE RD,SENGKANG,4 ROOM,95.0,94,12.0,12.027713,0.193836,4.0,0.222815,0.523776,13.0,2.0,477093.76,North East
1.38994,103.90072,233 COMPASSVALE WALK,SENGKANG,4 ROOM,100.0,80,22.0,12.913506,1.246778,7.0,0.502126,0.385577,28.0,1.0,448865.08550000004,North East
1.38994,103.90072,233 COMPASSVALE WALK,SENGKANG,5 ROOM,123.0,81,22.0,12.913506,1.246778,7.0,0.502126,0.385577,28.0,1.0,517968.586,North East
1.38995,103.90945,180B RIVERVALE CRES,SENGKANG,2 ROOM,47.0,96,9.0,13.352626,2.073077,6.0,0.434612,0.660702,21.0,0.0,267168.96,North East
1.38995,103.90945,180B RIVERVALE CRES,SENGKANG,3 ROOM,67.0,96,9.0,13.352626,2.073077,6.0,0.434612,0.660702,21.0,0.0,361791.3000000001,North East
1.39,103.8977,241 COMPASSVALE WALK,SENGKANG,4 ROOM,101.0,79,22.0,12.781296,1.027447,8.0,0.305107,0.697447,28.0,1.0,441869.5525,North East
1.39,103.8977,241 COMPASSVALE WALK,SENGKANG,5 ROOM,122.0,81,22.0,12.781296,1.027447,8.0,0.305107,0.697447,28.0,1.0,530654.8319999999,North East
1.39001,103.89203,321A ANCHORVALE DR,SENGKANG,4 ROOM,90.0,84,23.0,12.543638,0.843556,7.0,0.402341,1.316423,30.0,3.0,434105.79,North East
1.39001,103.89203,321A ANCHORVALE DR,SENGKANG,5 ROOM,110.0,84,23.0,12.543638,0.843556,7.0,0.402341,1.316423,30.0,3.0,547302.996,North East
1.39001,103.89345,215B COMPASSVALE DR,SENGKANG,4 ROOM,92.0,96,27.0,12.601067,0.850821,7.0,0.275413,1.160028,29.0,3.0,653276.085,North East
