private_lat,private_lon,within_0.1,within_0.3,within_0.5,within_1,within_1.5,within_2.0
1.29488382877099,103.828087328414,0,0,0,3,6,9
1.29488940916719,103.816655765912,0,1,2,4,7,10
1.29489158756341,103.829699558094,0,0,0,3,6,8
1.2949260365119,103.838947184938,0,0,1,2,3,7
1.29506595555146,103.827422791277,0,0,0,3,6,9
1.29510458679803,103.828511352677,0,0,0,3,6,9
1.29510639772836,103.837908586809,0,1,1,2,3,7
1.29520286174263,103.836921549212,0,1,1,2,3,7
1.29522123322474,103.827149602901,0,0,0,2,6,9
1.29523854569476,103.831012386123,0,0,0,2,6,8
1.29530425710738,103.842749479779,0,0,0,2,3,5
1.29531113116987,103.828936725741,0,0,0,3,6,8
1.2953224949112,103.827818619662,0,0,0,3,6,9
1.2953415799343,103.839844385683,0,0,1,1,3,7
1.29537368057774,103.826206382484,0,0,0,3,6,9
1.29537581262615,103.828484302476,0,0,0,3,6,8
1.29538639198638,103.835849138309,0,1,1,1,3,7
1.29549744673762,103.834969393898,0,1,1,1,4,8
1.29551395924241,103.838907866844,0,0,1,1,3,7
1.29560520303559,103.829406938324,0,0,0,3,6,9
1.29563102657533,103.841615089993,0,0,0,2,4,5
1.29565503085263,103.827070437349,0,0,0,2,5,9
1.2956665859268,103.82885975081,0,0,0,3,6,8
1.29570410515931,103.839811752808,0,0,1,1,4,7
1.29570993713335,103.827568387283,0,0,0,3,6,9
1.29571705287656,103.839861034802,0,0,1,1,4,7
1.29573433474414,103.806030198974,0,1,1,4,7,7
1.29576313642746,103.766122279701,0,0,0,1,3,6
1.29578197832221,103.832416192541,0,0,1,1,5,8
1.29586840547876,103.829376171741,0,0,0,3,6,9
1.29593645811863,103.829849815157,0,0,0,2,6,9
1.29596220092847,103.82905159539,0,0,0,3,6,9
1.2959707477639,103.871750424041,0,0,0,0,1,2
1.29598965078724,103.841261930523,0,0,0,2,4,5
1.29602981016717,103.82855385728,0,0,0,3,6,8
1.29610970657652,103.838506457383,0,0,1,1,4,7
1.29612371629415,103.837596960133,0,0,1,1,4,7
1.29613986111385,103.827231791683,0,0,0,2,5,9
1.29614347977247,103.836292454037,0,1,1,1,3,7
1.29617714762777,103.836877654727,0,1,1,1,3,7
