,private_lat,private_lon,bus_lat,bus_lon,distance
2600,1.35809039718141,103.760746706379,1.358041,103.761419,0.075018
2601,1.35816624268405,103.881182455343,1.357044,103.881489,0.128696
2602,1.35817434753526,103.870234663346,1.358495,103.868227,0.226225
2603,1.35820450511192,103.764151070734,1.358366,103.764971,0.09298
2604,1.35820831850958,103.75944650006,1.358041,103.761419,0.220295
2605,1.35822180428752,103.875663136761,1.357228,103.875273,0.118156
2606,1.35823032280321,103.965573132382,1.35712,103.965174,0.130562
2607,1.35823515582956,103.867941640582,1.358495,103.868227,0.042826
2608,1.35823629675024,103.881478634217,1.357044,103.881489,0.131843
2609,1.3582606053054,103.766168368351,1.358214,103.765072,0.122122
2610,1.3582615587936,103.826978918454,1.357818,103.828951,0.224883
2611,1.35827540489293,103.877119519016,1.356985,103.875682,0.214366
2612,1.35828655033005,103.768482376084,1.359368,103.767448,0.165985
2613,1.35856417900748,103.868737248367,1.358495,103.868227,0.057298
2614,1.35857222955069,103.761647512169,1.358671,103.761951,0.035497
2615,1.35867071079871,103.874996945631,1.357228,103.875273,0.162459
2616,1.35881932526225,103.879647238082,1.357044,103.881489,0.283809
2617,1.35884589635905,103.878140349878,1.356985,103.875682,0.34233
2618,1.35886537664094,103.862500359906,1.358821,103.861832,0.074542
2619,1.35887799120341,103.96852443877,1.359189,103.968406,0.036829
2620,1.35888577009923,103.762618572073,1.358934,103.762022,0.066605
2621,1.35892339007701,103.940498383792,1.3594,103.93943,0.130055
2622,1.35896048029597,103.876469767607,1.357228,103.875273,0.233318
