,hdb_lat,hdb_lon,hawker_lat,hawker_lon,distance
5936,1.375745444,103.8854128,1.375429,103.882978,0.273213
5937,1.375750144,103.7417518,1.355215,103.741826,2.270687
5938,1.37575573,103.8902879,1.382388,103.892403,0.770212
5939,1.375757771,103.9471064,1.373434,103.951543,0.556598
5940,1.375757967,103.8820328,1.375429,103.882978,0.111301
5941,1.375774046,103.8999657,1.382388,103.892403,1.11499
5942,1.375784655,103.9404302,1.373434,103.951543,1.263737
5943,1.375790216,103.943988,1.373434,103.951543,0.880221
5944,1.37580546,103.7447935,1.387136,103.761018,2.197685
5945,1.375805585,103.8948191,1.382388,103.892403,0.775927
5946,1.375815937,103.7675635,1.377601,103.77249,0.582707
5947,1.375821491,103.9430789,1.373434,103.951543,0.978245
5948,1.375824719,103.7428234,1.355215,103.741826,2.281619
5949,1.37583341,103.8918851,1.382388,103.892403,0.727061
5950,1.375838271,103.8381231,1.374489,103.839214,0.192349
5951,1.375841486,103.7377574,1.355215,103.741826,2.325282
5952,1.375842814,103.7431959,1.355215,103.741826,2.286008
5953,1.375848226,103.8361572,1.374489,103.839214,0.371906
5954,1.375871547,103.7681357,1.377601,103.77249,0.520949
5955,1.375877238,103.8400675,1.374489,103.839214,0.180515
5956,1.375877509,103.7391138,1.355215,103.741826,2.304606
5957,1.375887937,103.7402252,1.355215,103.741826,2.29284
5958,1.375918707,103.7661918,1.377601,103.77249,0.725176
5959,1.375920656,103.8891903,1.375429,103.882978,0.693486
5960,1.375922155,103.7730005,1.377601,103.77249,0.194137
5961,1.375938451,103.9010845,1.382388,103.892403,1.200844
5962,1.375954148,103.934299,1.373434,103.951543,1.939171
5963,1.375964495,103.8874236,1.375429,103.882978,0.498271
5964,1.375982973,103.8954263,1.382388,103.892403,0.784092
5965,1.375984861,103.8488605,1.372197,103.846519,0.493286
5966,1.375998644,103.8841214,1.375429,103.882978,0.141983
5967,1.376007407,103.7668841,1.377601,103.77249,0.648275
5968,1.376009045,103.946423,1.373434,103.951543,0.636976
5969,1.376020766,103.76549,1.377601,103.77249,0.798369
5970,1.376024521,103.9459457,1.373434,103.951543,0.685616
5971,1.376025189,103.877538,1.375429,103.882978,0.608983
5972,1.376028005,103.7697491,1.377601,103.77249,0.351134
5973,1.376028692,103.7413682,1.355215,103.741826,2.302036
5974,1.376029069,103.7727843,1.377601,103.77249,0.176875
5975,1.376031519,103.7488246,1.387136,103.761018,1.830042
5976,1.376032043,103.8814979,1.375429,103.882978,0.177702
5977,1.376037817,103.9448899,1.373434,103.951543,0.794418
5978,1.376041135,103.74846,1.387136,103.761018,1.859626
5979,1.376044182,103.7451709,1.387136,103.761018,2.148131
5980,1.376056835,103.7398062,1.355215,103.741826,2.31552
5981,1.376062262,103.7750106,1.377601,103.77249,0.32808
5982,1.376063642,103.8879392,1.375429,103.882978,0.556562
5983,1.376068365,103.8911253,1.382388,103.892403,0.713113
5984,1.376078467,103.7469031,1.387136,103.761018,1.990579
5985,1.376100159,103.8809422,1.375429,103.882978,0.238405
5986,1.376101931,103.9338673,1.373434,103.951543,1.989086
5987,1.376128653,103.8948313,1.382388,103.892403,0.743013
5988,1.376128884,103.8828949,1.375429,103.882978,0.07794
5989,1.37614024,103.8938237,1.382388,103.892403,0.708707
5990,1.376149707,103.9442391,1.373434,103.951543,0.866529
5991,1.376155038,103.8781923,1.375429,103.882978,0.538606
5992,1.376156002,103.7458213,1.387136,103.761018,2.081881
5993,1.376158501,103.9408386,1.373434,103.951543,1.228771
5994,1.376161791,103.8855498,1.375429,103.882978,0.297458
5995,1.376166612,103.7722071,1.377601,103.77249,0.161702
5996,1.376193199,103.8370382,1.374489,103.839214,0.306825
5997,1.376222879,103.7757003,1.377601,103.77249,0.388408
5998,1.37622545,103.8850729,1.375429,103.882978,0.249216
5999,1.376230308,103.7363383,1.355215,103.741826,2.402678
6000,1.376245278,103.9432648,1.373434,103.951543,0.972294
6001,1.376247476,103.8931285,1.382388,103.892403,0.683771
6002,1.376256227,103.9344739,1.373434,103.951543,1.925043
6003,1.376260674,103.841231,1.374489,103.839214,0.297932
6004,1.376263241,103.764451,1.377601,103.77249,0.906787
6005,1.376280065,103.9013876,1.382388,103.892403,1.206603
6006,1.376295016,103.882146,1.375429,103.882978,0.133203
6007,1.376298403,103.9002208,1.382388,103.892403,1.100159
6008,1.376304182,103.7474576,1.387136,103.761018,1.926639
6009,1.376314852,103.8874736,1.375429,103.882978,0.509803
6010,1.376355124,103.7383602,1.355215,103.741826,2.369174
6011,1.376357457,103.8420565,1.374489,103.839214,0.377827
6012,1.376361936,103.7699188,1.377601,103.77249,0.317252
6013,1.376371236,103.8835196,1.375429,103.882978,0.120366
6014,1.376374482,103.7673243,1.377601,103.77249,0.590659
6015,1.376382244,103.9417492,1.373434,103.951543,1.137639
6016,1.376386083,103.9424626,1.373434,103.951543,1.06195
6017,1.376391724,103.7679128,1.377601,103.77249,0.526643
6018,1.376398889,103.8841007,1.375429,103.882978,0.164658
6019,1.376400203,103.9335398,1.373434,103.951543,2.030203
6020,1.376417067,103.9395942,1.373434,103.951543,1.370054
6021,1.376422216,103.7405047,1.355215,103.741826,2.349592
6022,1.37644095,103.8885273,1.375429,103.882978,0.627624
