,hdb_lat,hdb_lon,bus_lat,bus_lon,distance
2675,1.341866375,103.9520194,1.341893,103.951764,0.028575
2676,1.341866529,103.7450352,1.341926,103.744202,0.092959
2677,1.341877297,103.7022037,1.340913,103.702624,0.116435
2678,1.341885217,103.9508335,1.342324,103.951249,0.067024
2679,1.34189152,103.6875769,1.341965,103.688462,0.098837
2680,1.341893618,103.8452078,1.340953,103.845462,0.107787
2681,1.341903505,103.7427969,1.341602,103.743616,0.097062
2682,1.341927501,103.7033861,1.342647,103.703803,0.092099
2683,1.341961793,103.7045422,1.342647,103.703803,0.11184
2684,1.341967748,103.6988897,1.342729,103.697979,0.131748
2685,1.341985271,103.6953056,1.342749,103.695339,0.084531
2686,1.342020912,103.9562401,1.342252,103.955852,0.050184
2687,1.342024246,103.7390097,1.342084,103.738002,0.112341
2688,1.34203077,103.7067806,1.342536,103.705546,0.148321
2689,1.34203351,103.8506489,1.34084,103.849806,0.161914
2690,1.342055197,103.6862886,1.340669,103.686875,0.166593
2691,1.342064065,103.7433067,1.341602,103.743616,0.061606
2692,1.342065202,103.8491654,1.34084,103.849806,0.15309
2693,1.342075242,103.6943064,1.342801,103.694412,0.081107
2694,1.3420865,103.7368257,1.342661,103.737437,0.093079
2695,1.342088992,103.9576471,1.341958,103.95776,0.019175
2696,1.342098328,103.7467103,1.341926,103.744202,0.279796
2697,1.342103693,103.6898088,1.342012,103.689107,0.078758
2698,1.342104131,103.7454087,1.341926,103.744202,0.135729
2699,1.34211081,103.7074774,1.343128,103.707587,0.113135
2700,1.342134563,103.6963969,1.342521,103.69716,0.095069
2701,1.34216114,103.9504899,1.342324,103.951249,0.086378
2702,1.342204167,103.6994476,1.342729,103.697979,0.173437
2703,1.342237947,103.6887377,1.341965,103.688462,0.043038
2704,1.342251668,103.6978706,1.342729,103.697979,0.054142
2705,1.342257928,103.9501284,1.342324,103.951249,0.124924
2706,1.342266095,103.7043093,1.342647,103.703803,0.070348
2707,1.342273144,103.7401014,1.341461,103.740531,0.101736
2708,1.34227486,103.8480503,1.340951,103.847856,0.147974
2709,1.342314814,103.8465089,1.343654,103.847184,0.16605
2710,1.342314883,103.9572477,1.341958,103.95776,0.069338
2711,1.342315475,103.6952811,1.342749,103.695339,0.048368
2712,1.34234943,103.6908741,1.342099,103.691162,0.042348
2713,1.342382311,103.8455981,1.340953,103.845462,0.15877
2714,1.342412335,103.9495035,1.342324,103.951249,0.194501
2715,1.342429017,103.9517586,1.342324,103.951249,0.05789
2716,1.342453658,103.6900883,1.342012,103.689107,0.11963
2717,1.34247206,103.8541787,1.343527,103.854612,0.126224
2718,1.342477099,103.9585391,1.342875,103.957728,0.100418
2719,1.342517568,103.6996678,1.342729,103.697979,0.189394
2720,1.342531994,103.9570125,1.342875,103.957728,0.088199
2721,1.342532308,103.6944383,1.342801,103.694412,0.029854
2722,1.342552189,103.9560409,1.342252,103.955852,0.039291
2723,1.342554595,103.7041676,1.342647,103.703803,0.041843
2724,1.342562424,103.7392597,1.342084,103.738002,0.149632
2725,1.34256318,103.7074222,1.343128,103.707587,0.065092
2726,1.342567822,103.6891498,1.342012,103.689107,0.061644
2727,1.342574721,103.7362904,1.341917,103.735736,0.095373
2728,1.342585466,103.7423192,1.341602,103.743616,0.180704
2729,1.342589722,103.691519,1.342099,103.691162,0.067252
2730,1.342609031,103.7048478,1.342694,103.705429,0.06536
2731,1.342611984,103.9587681,1.342875,103.957728,0.119349
2732,1.342616734,103.8564549,1.34305,103.856371,0.04881
2733,1.342621808,103.8569718,1.34305,103.856371,0.081929
2734,1.342630964,103.6934649,1.342921,103.694099,0.077514
2735,1.342653278,103.739977,1.341461,103.740531,0.14554
2736,1.342658708,103.8546656,1.343527,103.854612,0.096196
2737,1.342661828,103.7002088,1.342729,103.697979,0.248264
2738,1.342661948,103.7453109,1.341926,103.744202,0.147824
2739,1.342672026,103.688333,1.341965,103.688462,0.079487
2740,1.342725835,103.8551516,1.343527,103.854612,0.107024
2741,1.342738696,103.9589763,1.342875,103.957728,0.139737
2742,1.342752768,103.9501952,1.342324,103.951249,0.126497
2743,1.342764331,103.8558726,1.34305,103.856371,0.06383
2744,1.34278861,103.7143014,1.342477,103.714392,0.035901
2745,1.342793288,103.698397,1.342729,103.697979,0.047059
2746,1.342849657,103.7028043,1.342727,103.70362,0.091786
2747,1.342854256,103.9498804,1.342324,103.951249,0.163206
2748,1.34285869,103.9582587,1.342875,103.957728,0.059089
2749,1.34287179,103.9575618,1.342875,103.957728,0.0185
2750,1.342873687,103.9592051,1.342875,103.957728,0.164385
2751,1.34287699,103.6897726,1.342012,103.689107,0.120976
2752,1.342882765,103.6948548,1.342801,103.694412,0.050101
2753,1.342892717,103.7031361,1.342727,103.70362,0.056885
2754,1.342900336,103.7061852,1.342536,103.705546,0.081752
2755,1.342902399,103.7139395,1.342477,103.714392,0.06891
2756,1.342920389,103.7041688,1.342647,103.703803,0.050706
2757,1.342952328,103.6890288,1.342012,103.689107,0.10434
2758,1.342959704,103.9554742,1.342611,103.95539,0.03968
2759,1.342971567,103.7047605,1.342694,103.705429,0.080479
2760,1.342997774,103.7551581,1.343481,103.754384,0.101374
2761,1.343000399,103.9594134,1.342875,103.957728,0.188079
2762,1.343003962,103.7147006,1.342477,103.714392,0.067637
2763,1.343019541,103.9510074,1.342324,103.951249,0.081474
2764,1.343020267,103.7381155,1.342661,103.737437,0.085322
2765,1.343025566,103.9517598,1.342324,103.951249,0.096174
2766,1.343040859,103.6956408,1.342845,103.695507,0.026282
2767,1.343060087,103.697533,1.342729,103.697979,0.061676
2768,1.343064355,103.7556776,1.344017,103.756019,0.111981
2769,1.34307733,103.692906,1.342921,103.694099,0.133888
2770,1.343089299,103.6940543,1.342921,103.694099,0.019263
2771,1.34309421,103.6988661,1.342729,103.697979,0.106665
2772,1.343109584,103.9495596,1.342324,103.951249,0.207109
2773,1.34312003,103.696675,1.342521,103.69716,0.085444
2774,1.343121023,103.707052,1.343128,103.707587,0.059545
2775,1.343135737,103.9596428,1.34357,103.957785,0.212256
2776,1.343152907,103.7053946,1.342694,103.705429,0.050888
2777,1.343155311,103.9561051,1.342611,103.95539,0.099779
2778,1.343158904,103.9541881,1.342329,103.953458,0.122568
2779,1.343165856,103.7396765,1.341461,103.740531,0.211142
2780,1.343188358,103.7367858,1.342661,103.737437,0.093019
2781,1.343258376,103.7041601,1.342647,103.703803,0.078419
2782,1.343260813,103.6993343,1.342729,103.697979,0.161888
2783,1.343262731,103.7565315,1.344017,103.756019,0.10104
2784,1.343266151,103.7154119,1.343675,103.716012,0.080647
2785,1.343297102,103.700241,1.344883,103.700961,0.1928
2786,1.343307908,103.6888734,1.342012,103.689107,0.145634
2787,1.343329662,103.6916785,1.343953,103.691965,0.075943
2788,1.343334426,103.7047012,1.342694,103.705429,0.107588
2789,1.34336246,103.9558568,1.34408,103.955856,0.079342
2790,1.343377778,103.7571747,1.344017,103.756019,0.146759
2791,1.343401612,103.7591885,1.343946,103.758686,0.082164
2792,1.343403195,103.7136861,1.342477,103.714392,0.129074
2793,1.343426295,103.6909242,1.344142,103.691406,0.095593
2794,1.343430833,103.7032581,1.342727,103.70362,0.08763
2795,1.343453413,103.7547883,1.343481,103.754384,0.045097
2796,1.343465123,103.9554482,1.34408,103.955856,0.081745
2797,1.343504591,103.6937055,1.342921,103.694099,0.077987
2798,1.343507819,103.7028158,1.344302,103.703245,0.099966
2799,1.343516441,103.7576965,1.344141,103.758278,0.094643
2800,1.343517906,103.7553918,1.344017,103.756019,0.088982
2801,1.3435536,103.7566288,1.344017,103.756019,0.085036
2802,1.343565659,103.959402,1.34357,103.957785,0.179955
2803,1.34357907,103.6927717,1.343953,103.691965,0.098841
2804,1.343584529,103.9511278,1.342324,103.951249,0.140034
2805,1.343586592,103.704503,1.342647,103.703803,0.129858
2806,1.343607249,103.7599425,1.343946,103.758686,0.144765
2807,1.343607885,103.7138694,1.342477,103.714392,0.137911
2808,1.343609601,103.9569035,1.34357,103.957785,0.098199
2809,1.343615099,103.690685,1.344142,103.691406,0.099161
2810,1.343622212,103.7056661,1.342694,103.705429,0.105975
2811,1.343657113,103.6960642,1.344137,103.696073,0.053072
2812,1.343667667,103.7560517,1.344017,103.756019,0.038799
2813,1.343669447,103.6982983,1.342729,103.697979,0.109894
2814,1.343693814,103.7473568,1.344673,103.746231,0.165591
2815,1.343694927,103.6897893,1.344142,103.691406,0.186589
2816,1.343697967,103.7481581,1.345017,103.748362,0.147607
2817,1.343706324,103.7144849,1.342477,103.714392,0.136325
2818,1.343720248,103.6893771,1.342012,103.689107,0.191266
2819,1.343721756,103.7402229,1.341461,103.740531,0.252323
2820,1.343722498,103.6974671,1.342729,103.697979,0.123749
2821,1.343724747,103.7009391,1.344883,103.700961,0.128097
2822,1.343744024,103.6943573,1.342921,103.694099,0.095438
2823,1.34374461,103.6964188,1.344137,103.696073,0.057996
2824,1.343757615,103.9518978,1.344377,103.953066,0.146945
2825,1.343765689,103.712164,1.343404,103.712137,0.040106
2826,1.343781549,103.7135314,1.343404,103.712137,0.160699
2827,1.343784707,103.7150939,1.343675,103.716012,0.102892
2828,1.343786349,103.7386358,1.342661,103.737437,0.182437
2829,1.343810091,103.7109905,1.34381,103.710605,0.042902
2830,1.343811391,103.9545032,1.34408,103.955856,0.153454
2831,1.343819603,103.9549942,1.34408,103.955856,0.100138
2832,1.343828697,103.7416542,1.341461,103.740531,0.290118
2833,1.343839994,103.7042166,1.344302,103.703245,0.119589
2834,1.34384823,103.6935096,1.342921,103.694099,0.121715
2835,1.343849097,103.9504375,1.342324,103.951249,0.191297
2836,1.343866875,103.760535,1.343946,103.758686,0.205959
2837,1.343872989,103.7014299,1.344883,103.700961,0.123272
2838,1.343877033,103.8551064,1.343527,103.854612,0.067271
2839,1.343880688,103.6887953,1.343826,103.68696,0.204338
2840,1.343891048,103.7576892,1.344141,103.758278,0.071117
2841,1.343897691,103.8710267,1.344777,103.870985,0.09734
2842,1.343908209,103.7060553,1.345174,103.706208,0.140993
2843,1.343923157,103.7063956,1.345174,103.706208,0.139879
2844,1.343957088,103.6998156,1.344883,103.700961,0.163496
2845,1.343959799,103.7018955,1.344883,103.700961,0.145729
