,hdb_lat,hdb_lon,park_lat,park_lon,distance
431,1.293111932,103.8037302,1.282462,103.794116,1.59111
432,1.293189644,103.8112526,1.28998,103.823156,1.371463
433,1.29327775,103.799918,1.282462,103.794116,1.359133
434,1.293313145,103.8082534,1.278845,103.810545,1.620014
435,1.293358565,103.8087998,1.278845,103.810545,1.616546
436,1.293360743,103.809857,1.28998,103.823156,1.526544
437,1.293382949,103.8093307,1.28998,103.823156,1.583979
438,1.293482013,103.8049167,1.282462,103.794116,1.711636
439,1.293566229,103.7996226,1.282462,103.794116,1.372291
440,1.29361494,103.8037425,1.282462,103.794116,1.633602
441,1.29375108,103.8119567,1.28998,103.823156,1.314289
442,1.293802603,103.8077892,1.278845,103.810545,1.68213
443,1.293814453,103.8031379,1.282462,103.794116,1.607453
444,1.293818152,103.8048866,1.282462,103.794116,1.735978
445,1.293831576,103.8026251,1.282462,103.794116,1.573949
446,1.293845338,103.8087279,1.28998,103.823156,1.661633
447,1.293860989,103.8115839,1.28998,103.823156,1.357491
448,1.293914777,103.8044543,1.282462,103.794116,1.711006
449,1.294021643,103.8082128,1.278845,103.810545,1.698108
450,1.294073335,103.8000265,1.303054,103.790773,1.43062
451,1.294236426,103.8120353,1.28998,103.823156,1.324108
452,1.29429994,103.7997259,1.303054,103.790773,1.389155
453,1.294316074,103.8044662,1.282462,103.794116,1.744978
454,1.294317426,103.8049318,1.282462,103.794116,1.779719
455,1.294382132,103.8055602,1.278845,103.810545,1.805365
456,1.294386975,103.8114265,1.28998,103.823156,1.393381
457,1.294460576,103.810979,1.28998,103.823156,1.442918
458,1.294545264,103.8087511,1.28998,103.823156,1.68074
459,1.294561391,103.8096921,1.28998,103.823156,1.581733
460,1.294620407,103.8092773,1.28998,103.823156,1.627578
461,1.294642864,103.808264,1.28998,103.823156,1.735699
462,1.294799758,103.8046091,1.303054,103.790773,1.790009
463,1.294801401,103.8544675,1.292837,103.854824,0.220807
464,1.294903079,103.8036993,1.303054,103.790773,1.697597
465,1.29499227,103.8117965,1.28998,103.823156,1.380366
466,1.295120862,103.81115,1.28998,103.823156,1.452057
467,1.295340411,103.8125852,1.28998,103.823156,1.31732
468,1.295382633,103.8049624,1.303054,103.790773,1.79256
469,1.295401639,103.8121856,1.28998,103.823156,1.360154
470,1.295463169,103.8117852,1.28998,103.823156,1.403217
471,1.295609547,103.8044729,1.303054,103.790773,1.732699
472,1.295649031,103.8102305,1.28998,103.823156,1.569145
473,1.295687406,103.8048623,1.303054,103.790773,1.766967
474,1.295730427,103.8097599,1.28998,103.823156,1.620803
475,1.29579395,103.8092648,1.28998,103.823156,1.67431
476,1.296191719,103.8045419,1.303054,103.790773,1.709937
477,1.296328449,103.8044471,1.303054,103.790773,1.693796
478,1.296545485,103.8034986,1.303054,103.790773,1.588612
479,1.296567445,103.7983786,1.303054,103.790773,1.109459
