,hdb_lat,hdb_lon,supermarket_lat,supermarket_lon,distance
9078,1.437752267,103.7772758,1.433513,103.779747,0.543472
9079,1.437758771,103.8386905,1.436114,103.837605,0.218333
9080,1.437781273,103.7920795,1.437557,103.795136,0.341044
9081,1.437786584,103.8403741,1.436114,103.837605,0.359398
9082,1.437805295,103.7928961,1.437557,103.795136,0.250774
9083,1.437811367,103.778702,1.433513,103.779747,0.489312
9084,1.437812607,103.7924094,1.437557,103.795136,0.304742
9085,1.437822876,103.837838,1.436114,103.837605,0.19073
9086,1.437912278,103.7905398,1.437557,103.795136,0.512993
9087,1.437918437,103.8369946,1.436114,103.837605,0.210772
9088,1.437925558,103.7946196,1.437557,103.795136,0.070451
9089,1.437942583,103.8010051,1.439916,103.800701,0.220819
9090,1.437943817,103.7820594,1.436008,103.785689,0.457132
9091,1.43799069,103.7999869,1.439916,103.800701,0.22724
9092,1.438009514,103.7804472,1.433513,103.779747,0.503271
9093,1.438012808,103.7976719,1.437557,103.795136,0.286672
9094,1.438014045,103.7812289,1.433513,103.779747,0.524313
9095,1.438077969,103.8023866,1.439984,103.801293,0.243373
9096,1.438081423,103.7990323,1.439916,103.800701,0.27502
9097,1.438097638,103.8396421,1.436114,103.837605,0.31544
9098,1.438099633,103.8044299,1.44063,103.806198,0.342054
9099,1.438099953,103.7772638,1.433513,103.779747,0.577598
9100,1.438119418,103.7794643,1.433513,103.779747,0.510325
9101,1.438126441,103.7787005,1.433513,103.779747,0.523256
9102,1.438154706,103.7801109,1.433513,103.779747,0.514852
9103,1.438154709,103.7798411,1.433513,103.779747,0.513364
9104,1.438217416,103.7963915,1.437557,103.795136,0.157651
9105,1.438238746,103.7924522,1.437557,103.795136,0.308032
9106,1.4382581,103.7941155,1.437557,103.795136,0.137504
9107,1.438281154,103.780967,1.433513,103.779747,0.544438
9108,1.438281898,103.7780258,1.433513,103.779747,0.561031
9109,1.438282212,103.7932165,1.437557,103.795136,0.228167
9110,1.438284679,103.8006463,1.439916,103.800701,0.180486
9111,1.438291516,103.7946129,1.437557,103.795136,0.099926
9112,1.438293385,103.797399,1.437557,103.795136,0.264674
9113,1.438303104,103.801474,1.439984,103.801293,0.186953
9114,1.43831415,103.8382269,1.436114,103.837605,0.252934
9115,1.438321457,103.777752,1.433513,103.779747,0.576185
9116,1.438322013,103.799572,1.439916,103.800701,0.216452
9117,1.438331465,103.7816673,1.436008,103.785689,0.516053
9118,1.438372589,103.8373843,1.436114,103.837605,0.250948
