,private_lat,private_lon,supermarket_lat,supermarket_lon,distance
1876,1.32751915623427,103.867298187961,1.332536,103.867037,0.555498
1877,1.32756140104682,103.843705507242,1.326965,103.843674,0.06604
1878,1.3276667701016,103.944745938969,1.331776,103.946201,0.482371
1879,1.32769256541798,103.806138221347,1.331491,103.806809,0.426594
1880,1.32771850493034,103.850327771845,1.325127,103.851056,0.297795
1881,1.32772188246207,103.848137304369,1.327085,103.846476,0.197844
1882,1.32773937225717,103.911272453985,1.323977,103.91069,0.421043
1883,1.32776719893522,103.84161445288,1.326965,103.843674,0.245772
1884,1.32780887766582,103.906399584482,1.329872,103.90193,0.547237
1885,1.32784327123408,103.813314335087,1.323835,103.81,0.57662
1886,1.32784510851012,103.843709435735,1.326965,103.843674,0.097398
1887,1.32785789082303,103.866088622774,1.332536,103.867037,0.527939
1888,1.32788768994354,103.820749962614,1.322573,103.814246,0.932352
1889,1.32789799979738,103.849310947037,1.327085,103.846476,0.328058
1890,1.32790363156125,103.793397825787,1.330817,103.795692,0.411053
1891,1.32790589397329,103.811986078233,1.324374,103.809358,0.487918
1892,1.32791217152286,103.863187561929,1.328212,103.859813,0.377015
1893,1.32791955421654,103.86384632382,1.328212,103.859813,0.450031
1894,1.32792812694096,103.843273141429,1.326965,103.843674,0.115464
1895,1.32796471540852,103.946657040685,1.331427,103.948257,0.422224
1896,1.32798294795089,103.766368712851,1.32325,103.76726,0.532662
1897,1.32798732117053,103.862540519298,1.328212,103.859813,0.30456
1898,1.32799509209372,103.80585088954,1.331491,103.806809,0.400996
1899,1.32801029525715,103.847841048909,1.327085,103.846476,0.183158
1900,1.32808445761776,103.817020925409,1.322573,103.814246,0.683209
1901,1.32809614767202,103.81198826246,1.324374,103.809358,0.505055
1902,1.32810062850729,103.842349999219,1.326965,103.843674,0.193597
1903,1.32812868583745,103.843675063421,1.326965,103.843674,0.128674
1904,1.32816337851711,103.863446045125,1.328212,103.859813,0.404357
1905,1.32821333135781,103.817355318842,1.322573,103.814246,0.713243
1906,1.32825889448877,103.906611528497,1.329872,103.90193,0.550693
1907,1.32826701515823,103.944420164383,1.331776,103.946201,0.435691
1908,1.32831187101076,103.912674237605,1.332051,103.914145,0.444674
1909,1.32832481094821,103.811700132613,1.324374,103.809358,0.508712
1910,1.3283636088892,103.841418362322,1.326965,103.843674,0.294844
1911,1.32840203522441,103.90860634862,1.323977,103.91069,0.541465
1912,1.32847324320348,103.95135621615,1.331427,103.948257,0.475014
1913,1.32849358847465,103.848169401956,1.327085,103.846476,0.244491
1914,1.32851985114809,103.809122740429,1.331491,103.806809,0.417419
1915,1.32853093786845,103.817774415961,1.322573,103.814246,0.766949
1916,1.32853787671927,103.801263575453,1.330817,103.795692,0.669316
1917,1.32854055091344,103.915124551985,1.332051,103.914145,0.403185
1918,1.32856038388491,103.869106262251,1.332536,103.867037,0.496269
1919,1.32860628706253,103.815746702264,1.322573,103.814246,0.687718
1920,1.32862584566182,103.865133145358,1.332536,103.867037,0.48149
1921,1.32864269824431,103.913744097652,1.332051,103.914145,0.379504
1922,1.32865923404591,103.820422048241,1.322573,103.814246,0.961942
1923,1.3286910914278,103.789742165956,1.330817,103.795692,0.702644
1924,1.32873367272575,103.864762336397,1.332536,103.867037,0.490769
1925,1.32879593267373,103.912963648128,1.332051,103.914145,0.383189
1926,1.32890152807378,103.812100334091,1.324374,103.809358,0.586323
1927,1.32899344664489,103.91347731741,1.332051,103.914145,0.346158
1928,1.32899347508174,103.811769168631,1.324374,103.809358,0.576992
1929,1.32899718944322,103.906865168799,1.329872,103.90193,0.557687
1930,1.32901984483655,103.914196223923,1.332051,103.914145,0.335218
1931,1.3290441479788,103.801145691887,1.330817,103.795692,0.637812
1932,1.32907861329244,103.817846608734,1.322573,103.814246,0.823435
1933,1.32911585296345,103.908443073006,1.323977,103.91069,0.620817
1934,1.32913497694276,103.794144028289,1.330817,103.795692,0.253516
1935,1.32914621354331,103.871821891186,1.332536,103.867037,0.651199
1936,1.32915444523866,103.869979972475,1.332536,103.867037,0.497075
1937,1.32920266491302,103.809720004954,1.331665,103.807034,0.404337
1938,1.32920617249191,103.868121237592,1.332536,103.867037,0.387463
1939,1.3292745309642,103.818226756226,1.322573,103.814246,0.863352
1940,1.32927921849514,103.870521475139,1.332536,103.867037,0.52921
1941,1.32929888041803,103.808084185039,1.331491,103.806809,0.280881
