QUERY,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
THE INTERLACE DEPOT ROAD,THE INTERLACE,180,DEPOT ROAD,THE INTERLACE,180 DEPOT ROAD THE INTERLACE SINGAPORE 109684,109684,24628.4343157392,29404.8510879371,1.28220135422008,103.803023756097
2 RVG RIVER VALLEY GROVE,2 RVG,2,RIVER VALLEY GROVE,2 RVG,2 RIVER VALLEY GROVE 2 RVG SINGAPORE 238405,238405,28124.7525263485,30980.3680763338,1.29644995684098,103.834439535286
REGENT PARK JALAN LEMPENG,REGENT PARK,22,JALAN LEMPENG,REGENT PARK,22 JALAN LEMPENG REGENT PARK SINGAPORE 128803,128803,20012.3035279298,33281.5020414311,1.31725956103263,103.761545059068
PATERSON SUITES PATERSON ROAD,PATERSON SUITES,55,PATERSON ROAD,PATERSON SUITES,55 PATERSON ROAD PATERSON SUITES SINGAPORE 238550,238550,27717.3181940606,31536.3799802102,1.30147833178138,103.830778554467
EMERALD PARK INDUS ROAD,EMERALD PARK TOWER 2,2,INDUS ROAD,EMERALD PARK TOWER 2,2 INDUS ROAD EMERALD PARK TOWER 2 SINGAPORE 169586,169586,27640.1749709276,30209.8859570157,1.28948198551176,103.830085402755
LUMA RIVER VALLEY GROVE,LUMA,6,RIVER VALLEY GROVE,LUMA,6 RIVER VALLEY GROVE LUMA SINGAPORE 238403,238403,28142.2919148728,31018.9754646569,1.29679910840731,103.83459713454
THE CENTREN LORONG 27 GEYLANG,THE CENTREN,1,LORONG 27 GEYLANG,THE CENTREN,1 LORONG 27 GEYLANG THE CENTREN SINGAPORE 388153,388153,33591.4952288289,32914.3644141722,1.3139398304258,103.883560951253
SUITES 28 LORONG 30 GEYLANG,SUITES 28,28,LORONG 30 GEYLANG,SUITES 28,28 LORONG 30 GEYLANG SUITES 28 SINGAPORE 398361,398361,33856.3872741414,32775.5719671641,1.31268459175571,103.885941111431
GLENTREES MOUNT SINAI LANE,GLENTREES,11A,MOUNT SINAI LANE,GLENTREES,11A MOUNT SINAI LANE GLENTREES SINGAPORE 277050,277050,22612.3835625323,33168.5677750558,1.31623879085761,103.784908114868
MARINA BAY RESIDENCES MARINA BOULEVARD,MARINA BAY RESIDENCES,18,MARINA BOULEVARD,MARINA BAY RESIDENCES,18 MARINA BOULEVARD MARINA BAY RESIDENCES SINGAPORE 018980,018980,30411.5427663736,29120.0497012436,1.279625798918,103.854987203774
